allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class,subclass,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand_orientation,genbank_cds_start,genbank_cds_stop,pubmed_reference,blacklisted_taxa,db_version,enhanced_subclass,to_check
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011270148.1,NG_047237.1,No,CAI46944.1,AJ877225.1,-,5293,5757,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840258.1,NG_047238.1,No,CAJ32498.1,AM087409.1,+,1022,1486,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_003155734.1,NG_052489.1,No,CAO78542.1,AM749810.1,+,2176,2652,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840257.1,NG_047236.1,No,AAN41440.1,AY139604.1,+,113,577,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_071846359.1,NG_052479.1,No,ABN10340.1,EF207718.1,+,540,1004,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840260.1,NG_047240.1,No,CBI71176.1,FN640465.1,-,4029,4526,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840259.1,NG_047239.1,No,ADH03009.1,HM036080.1,+,132,596,,,2020-01-22.1,Gentamicin,no
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_022542381.1,NG_047232.1,Yes,,S68049.1,+,292,756,,,2020-01-22.1,Gentamicin,no
aac(3)-Ia,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_032492247.1,NG_056001.1,No,AAG15269.1,U12338.3,+,5056,5520,,,2020-01-22.1,Gentamicin,no
aac(3)-Ib,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Ib,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_010792467.1,NG_047257.1,No,ADU86600.1,GU390401.1,+,1774,2238,,,2020-01-22.1,Gentamicin,no
aac(3)-Ic,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Ic,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_034006142.1,NG_048568.1,No,CAD53575.1,AJ511268.1,+,1295,1765,,,2020-01-22.1,Gentamicin,no
aac(3)-Id,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Id,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_038404949.1,NG_048569.1,No,BAD00738.1,AB114632.1,+,104,580,,,2020-01-22.1,Gentamicin,no
aac(3)-If,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-If,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063856942.1,NG_048570.1,No,AAX16011.1,AY884051.1,+,61,525,,,2020-01-22.1,Gentamicin,no
aac(3)-Ig,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Ig,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011468318.1,NG_048571.1,No,ABD81100.1,CP000282.1,+,2333620,2334096,,,2020-01-22.1,Gentamicin,no
aac(3)-Ih,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Ih,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011749610.1,NG_048572.1,No,ABL71428.1,CP000490.1,+,509912,510370,,,2020-01-22.1,Gentamicin,no
aac(3)-Ii,aac(3)-I,,aminoglycoside N-acetyltransferase AAC(3)-Ii,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011540937.1,NG_048573.1,No,ABF52347.1,CP000356.1,-,638262,638720,,,2020-01-22.1,Gentamicin,no
,aac(3)-II,,AAC(3)-II family aminoglycoside N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_012695485.1,NG_047231.1,No,ACO54181.1,EU855787.1,+,256021,256830,,,2020-01-22.1,Gentamicin,no
aac(3)-IIb,aac(3)-II,,aminoglycoside N-acetyltransferase AAC(3)-IIb,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_033147097.1,NG_047249.1,No,AAA26548.1,M97172.1,+,656,1465,,,2020-01-22.1,Gentamicin,no
aac(3)-IIc,aac(3)-II,,aminoglycoside N-acetyltransferase AAC(3)-IIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840266.1,NG_047250.1,No,CAA38525.1,X54723.1,+,819,1679,,,2020-01-22.1,Gentamicin,no
aac(3)-IId,aac(3)-II,,aminoglycoside N-acetyltransferase AAC(3)-IId,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_000557454.1,NG_047251.1,No,AAN87703.1,AF550415.2,-,62770,63630,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIIa,,aminoglycoside N-acetyltransferase AAC(3)-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840261.1,NG_047241.1,No,CAA39184.1,X55652.1,+,1124,1939,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIIb,,aminoglycoside N-acetyltransferase AAC(3)-IIIb,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_058179966.1,NG_051746.1,No,KSC15183.1,LLLC01000048.1,-,353,1171,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIIc,,aminoglycoside N-acetyltransferase AAC(3)-IIIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840263.1,NG_047243.1,No,AAA25683.1,L06161.1,+,106,945,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIa,,aminoglycoside N-acetyltransferase AAC(3)-IIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_002063884.1,NG_047247.1,No,AAN34370.1,AY138987.1,-,4039,4899,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIa,,aminoglycoside N-acetyltransferase AAC(3)-IIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_015060297.1,NG_047248.1,No,ACI02996.1,FJ012882.1,-,41090,41950,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIa,,aminoglycoside N-acetyltransferase AAC(3)-IIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840265.1,NG_047246.1,No,AAA19915.1,L22613.1,+,105,965,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIa,,aminoglycoside N-acetyltransferase AAC(3)-IIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840264.1,NG_047245.1,No,CAA31895.1,X13543.1,+,186,1046,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIa,,aminoglycoside N-acetyltransferase AAC(3)-IIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_000557452.1,NG_047244.1,No,CAA35913.1,X51534.1,+,91,951,,,2020-01-22.1,Gentamicin,no
,aac(3)-IIe,,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840267.1,NG_047252.1,No,ABS70978.1,EU022315.1,+,1,861,,,2020-01-22.1,Gentamicin,no
,aac(3)-IV,,aminoglycoside N-acetyltransferase AAC(3)-IV,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_001199192.1,NG_047253.1,No,ABB43029.1,DQ241380.1,+,1,777,,,2020-01-22.1,Gentamicin,no
,aac(3)-IVa,,aminoglycoside N-acetyltransferase AAC(3)-IVa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840268.1,NG_047254.1,No,CAA25642.1,X01385.1,+,244,1029,,,2020-01-22.1,Gentamicin,no
,aac(3)-IXa,,aminoglycoside N-acetyltransferase AAC(3)-IXa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840269.1,NG_047255.1,No,AAA25334.1,M55427.1,+,274,1119,,,2020-01-22.1,Aminoglycosides,no
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_031136588.1,NG_047258.1,No,BAD95833.1,AB211959.1,-,30749,31612,,,2020-01-22.1,Aminoglycosides,no
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840271.1,NG_047260.1,No,CAG34706.1,AJ748131.1,+,2629,3492,,,2020-01-22.1,Aminoglycosides,no
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840270.1,NG_047259.1,No,CAH58703.1,AJ843080.1,-,26934,27797,,,2020-01-22.1,Aminoglycosides,no
aac(3)-VIIIa,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063856943.1,NG_048574.1,No,AAA26685.1,M55426.1,+,466,1326,,,2020-01-22.1,Aminoglycosides,no
,aac(3)-VIIa,,aminoglycoside N-acetyltransferase AAC(3)-VIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840272.1,NG_047261.1,No,AAA88552.1,M22999.1,+,493,1359,,,2020-01-22.1,Aminoglycosides,no
,aac(3)-VIa,,aminoglycoside N-acetyltransferase AAC(3)-VIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_000131886.1,NG_052583.3,Yes,,DQ517526.1,+,97578,98477,,,2020-01-22.1,Gentamicin,no
,aac(3)-VIa,,aminoglycoside N-acetyltransferase AAC(3)-VIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840273.1,NG_047262.1,No,AAA16194.1,M88012.1,+,193,1092,,,2020-01-22.1,Gentamicin,no
,aac(3)-XI,,aminoglycoside N-acetyltransferase AAC(3)-XI,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046095284.1,NG_050595.1,No,CQD12588.1,CTEG01000046.1,+,12458,12904,,,2020-01-22.1,Aminoglycosides,no
,aac(3)-Xa,,aminoglycoside N-acetyltransferase AAC(3)-Xa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_012377682.1,NG_047263.1,No,BAA78619.1,AB028210.1,-,2711,3565,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004874306.1,NG_052265.1,No,EEQ11435.1,AALD02000008.1,-,4573,5013,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846239.1,NG_052254.1,No,BAM45412.1,AB733642.1,+,1169,1723,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_029391459.1,NG_052157.1,Yes,,AJTQ01000183.1,-,11686,12168,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019453091.1,NG_052284.1,Yes,,ALOV01000006.1,+,88679,89119,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004937175.1,NG_052389.1,No,EMF04571.1,AORJ01000065.1,-,222016,222456,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_041036791.1,NG_052449.1,No,BAO35700.1,AP013063.1,+,3877863,3878303,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_023417224.1,NG_052413.1,No,ESP99889.1,ASHF01000011.1,-,464699,465181,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_037790839.1,NG_052293.1,Yes,,AUFD01000024.1,+,29492,29977,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_051208285.1,NG_052294.1,Yes,,AUIH01000073.1,+,8195,8797,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_021505085.1,NG_052297.1,No,ERH70569.1,AVSR01000023.1,+,98684,99124,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_023529211.1,NG_052445.1,No,EST37714.1,AWQV01000373.1,+,7421,7906,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_042785406.1,NG_052415.1,No,AIM23676.1,CP003424.1,+,4405272,4405712,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_015379140.1,NG_052263.1,No,AGE20052.1,CP003959.1,+,4618984,4619424,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_039639671.1,NG_052428.1,No,AJC61747.1,CP003987.1,-,9881022,9881495,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_044030410.1,NG_052336.1,No,AIA46829.1,CP005927.1,-,1522208,1522648,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046930149.1,NG_054689.1,No,AJT69959.1,CP007699.2,-,9059183,9059656,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046928126.1,NG_054688.1,No,AJT67207.1,CP007699.2,+,5982660,5983148,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_047729810.1,NG_052471.1,No,AKL42171.1,CP011642.1,-,3247308,3247748,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_060706838.1,NG_052209.1,No,ALE97986.1,CP012685.1,+,3875228,3875668,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_060560340.1,NG_054690.1,No,ALL39971.1,CP013046.2,+,4807464,4807904,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_047570454.1,NG_052420.1,No,AUU10860.1,CP026050.1,-,3691825,3692265,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049646085.1,NG_052198.1,No,CNE19069.1,CPYJ01000001.1,-,698494,698940,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049677835.1,NG_052199.1,No,CNH39072.1,CQBM01000001.1,+,332281,332727,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_050141558.1,NG_052200.1,No,CNK13080.1,CQDZ01000001.1,-,141891,142322,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_050537864.1,NG_052201.1,No,CQH02469.1,CTIO01000003.1,+,108841,109281,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_003950682.1,NG_052138.1,No,EFE83821.1,DS999645.1,+,4871890,4872372,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_009067544.1,NG_052139.1,No,EFL01423.1,GG657742.1,+,3985456,3985953,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_025304332.1,NG_052448.1,No,CDG14101.1,HG326223.1,+,3763302,3763742,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033644545.1,NG_052450.1,No,ETX42903.1,JAPC01000008.1,-,132125,132565,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033636082.1,NG_052451.1,No,ETX44633.1,JAPD01000005.1,+,274590,275030,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033651281.1,NG_052178.1,No,EZQ63051.1,JJMZ01000006.1,-,219059,219499,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033639326.1,NG_052346.1,No,KFD15114.1,JMPQ01000033.1,-,222939,223379,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033268654.1,NG_052341.1,Yes,,JNZA01000018.1,-,26532,27005,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_031084431.1,NG_052342.1,Yes,,JOGT01000014.1,+,54472,54945,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_030695745.1,NG_054655.1,Yes,,JOGU01000006.1,-,88072,88554,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033654785.1,NG_052345.1,No,KFB54973.1,JPOB01000020.1,+,2497,2937,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_033632034.1,NG_052347.1,No,KFF87932.1,JPUX01000001.1,-,1601527,1601967,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046687856.1,NG_052466.1,No,KKO56015.1,JSFB01000001.1,+,3461659,3462099,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846333.1,NG_052419.1,No,PNO64647.1,JTBC02000011.1,+,486877,487317,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846334.1,NG_052423.1,Yes,,JTVI01000034.1,+,5697,6251,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049198488.1,NG_052195.1,Yes,,JUOM01000037.1,+,99017,99457,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049241494.1,NG_052196.1,Yes,,JVCS01000042.1,-,221169,221609,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049208356.1,NG_052194.1,Yes,,JVIF01000032.1,-,234917,235357,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049189080.1,NG_052193.1,Yes,,JVNH01000105.1,+,166896,167336,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049204401.1,NG_052192.1,Yes,,JVXJ01000057.1,-,237191,237631,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049212943.1,NG_052191.1,Yes,,JVYI01000082.1,+,72671,73111,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_049270433.1,NG_052190.1,Yes,,JWBL01000029.1,-,10983,11423,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_039569351.1,NG_052427.1,No,KHO40870.1,JWLO01000007.1,+,59993,60433,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846352.1,NG_052459.1,No,KIX79344.1,JXOM01000108.1,+,4265,4747,,,2020-01-22.1,Aminoglycosides,no
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_043911783.1,NG_052429.1,No,KIQ65506.1,JXZB01000002.1,+,2083496,2083969,,,2020-01-22.1,Aminoglycosides,no
