allele,gene_family,whitelisted_taxa,product_name,scope,type,subtype,class_new,subclass_new,refseq_protein_accession,refseq_nucleotide_accession,curated_refseq_start,genbank_protein_accession,genbank_nucleotide_accession,genbank_strand,genbank_start,genbank_stop,refseq_strand,refseq_start,refseq_stop,pubmed_reference,blacklisted_taxa,synonyms,hierarchy_node,db_version,mut_acc,key,enhanced_class,enhanced_subclass,Status,Previous_class,Previous_subclass,NS Changes,NS comments
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840256.1,NG_047235.1,No,AAK12088.1,AF318077.1,+,2035,2499,+,101,565,,,,aac(3)-I,2026-03-24.1,__NG_047235.1,WP_063840256.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011270148.1,NG_047237.1,No,CAI46944.1,AJ877225.1,-,5293,5757,+,101,565,15995187,,,aac(3)-I,2026-03-24.1,__NG_047237.1,WP_011270148.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-I,,AAC(3)-I family aminoglycoside 3-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840260.1,NG_047240.1,No,CBI71176.1,FN640465.1,-,4029,4526,+,101,598,21281423,,,aac(3)-I,2026-03-24.1,__NG_047240.1,WP_063840260.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIIa,,aminoglycoside N-acetyltransferase AAC(3)-IIIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840261.1,NG_047241.1,No,CAA39184.1,X55652.1,+,1124,1939,+,101,916,1649572,,aacC3,aac(3)-IIIa,2026-03-24.1,__NG_047241.1,WP_063840261.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIIb,,aminoglycoside N-acetyltransferase AAC(3)-IIIb,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_058179966.1,NG_051746.1,No,KSC15183.1,LLLC01000048.1,-,353,1171,+,101,919,"2,038,790,326,604,250",,,aac(3)-IIIb,2026-03-24.1,__NG_051746.1,WP_058179966.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIIc,,aminoglycoside N-acetyltransferase AAC(3)-IIIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840263.1,NG_047243.1,No,AAA25683.1,L06161.1,+,106,945,+,101,940,,,,aac(3)-IIIc,2026-03-24.1,__NG_047243.1,WP_063840263.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIa,,aminoglycoside N-acetyltransferase AAC(3)-IIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840264.1,NG_047245.1,No,CAA31895.1,X13543.1,+,186,1046,+,101,961,3892230,,,aac(3)-IIa,2026-03-24.1,__NG_047245.1,WP_063840264.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIb,,aminoglycoside N-acetyltransferase AAC(3)-IIb,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_033147097.1,NG_047249.1,No,AAA26548.1,M97172.1,+,656,1465,+,101,910,1444303,,,aac(3)-IIb,2026-03-24.1,__NG_047249.1,WP_033147097.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIc,,aminoglycoside N-acetyltransferase AAC(3)-IIc,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840266.1,NG_047250.1,No,CAA38525.1,X54723.1,+,819,1679,+,101,961,,,,aac(3)-IIc,2026-03-24.1,__NG_047250.1,WP_063840266.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IId,,aminoglycoside N-acetyltransferase AAC(3)-IId,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_000557454.1,NG_047251.1,No,AAN87703.1,AF550415.2,-,62770,63630,+,101,961,20185552,,aacC2d,aac(3)-IId,2026-03-24.1,__NG_047251.1,WP_000557454.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IId,,aminoglycoside N-acetyltransferase AAC(3)-IId,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840265.1,NG_047246.1,No,AAA19915.1,L22613.1,+,105,965,+,101,961,8117265,,aacC2d,aac(3)-IId,2026-03-24.1,__NG_047246.1,WP_063840265.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIe,,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_002063884.1,NG_047247.1,No,AAN34370.1,AY138987.1,-,4039,4899,+,101,961,12726770,,aacC2e,aac(3)-IIe,2026-03-24.1,__NG_047247.1,WP_002063884.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIe,,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840267.1,NG_047252.1,No,ABS70978.1,EU022315.1,+,1,861,+,1,861,20185552,,aacC2e,aac(3)-IIe,2026-03-24.1,__NG_047252.1,WP_063840267.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIe,,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_015060297.1,NG_047248.1,No,ACI02996.1,FJ012882.1,-,41090,41950,+,101,961,19055690,,aacC2e,aac(3)-IIe,2026-03-24.1,__NG_047248.1,WP_015060297.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIe,,aminoglycoside N-acetyltransferase AAC(3)-IIe,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_000557452.1,NG_047244.1,No,CAA35913.1,X51534.1,+,91,951,+,91,951,2552900,,aacC2e,aac(3)-IIe,2026-03-24.1,__NG_047244.1,WP_000557452.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IIg,,aminoglycoside N-acetyltransferase AAC(3)-IIg,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_012695485.1,NG_047231.1,No,ACO54181.1,EU855787.1,+,256021,256830,+,101,910,32571822,,,aac(3)-IIg,2026-03-24.1,__NG_047231.1,WP_012695485.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-IVa,,aminoglycoside N-acetyltransferase AAC(3)-IVa,core,AMR,AMR,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN,WP_001199192.1,NG_047253.1,No,ABB43029.1,DQ241380.1,+,1,777,+,1,777,15231771,,aacC4,aac(3)-IVa,2026-03-24.1,__NG_047253.1,WP_001199192.1,Aminoglycoside,Apramycin/Gentamicin/Tobramycin,existing,,,,
,aac(3)-IVb,,aminoglycoside N-acetyltransferase AAC(3)-IVb,core,AMR,AMR,AMINOGLYCOSIDE,APRAMYCIN/GENTAMICIN/TOBRAMYCIN,WP_149317372.1,NG_070718.1,No,KAA0181672.1,VSRI01000003.1,+,355622,356419,+,101,898,"1,523,177,131,578,240",,,aac(3)-IVb,2026-03-24.1,__NG_070718.1,WP_149317372.1,Aminoglycoside,Apramycin/Gentamicin/Tobramycin,existing,,,,
,aac(3)-IXa,,aminoglycoside N-acetyltransferase AAC(3)-IXa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840269.1,NG_047255.1,No,AAA25334.1,M55427.1,+,274,1119,+,101,946,2060791,,aacC9,aac(3)-IXa,2026-03-24.1,__NG_047255.1,WP_063840269.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_002089484.1,NG_047234.1,No,AAF68257.1,AF207065.1,+,900,1364,+,101,565,,,aacC1,aac(3)-Ia,2026-03-24.1,__NG_047234.1,WP_002089484.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_032491356.1,NG_047233.1,No,CAA08847.1,AJ009820.2,+,930,1394,+,101,565,"91,692,029,835,490",,aacC1,aac(3)-Ia,2026-03-24.1,__NG_047233.1,WP_032491356.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840258.1,NG_047238.1,No,CAJ32498.1,AM087409.1,+,1022,1486,+,101,565,16495246,,aacC1,aac(3)-Ia,2026-03-24.1,__NG_047238.1,WP_063840258.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840257.1,NG_047236.1,No,AAN41440.1,AY139604.1,+,113,577,+,101,565,19719593,,aacC1,aac(3)-Ia,2026-03-24.1,__NG_047236.1,WP_063840257.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840259.1,NG_047239.1,No,ADH03009.1,HM036080.1,+,132,596,+,101,565,21117966,,aacC1,aac(3)-Ia,2026-03-24.1,__NG_047239.1,WP_063840259.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_022542381.1,NG_047232.1,Yes,,S68049.1,+,292,756,+,101,565,,,aacC1,aac(3)-Ia,2026-03-24.1,__NG_047232.1,WP_022542381.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ia,,aminoglycoside N-acetyltransferase AAC(3)-Ia,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_032492247.1,NG_056001.1,No,AAG15269.1,U12338.3,+,5056,5520,+,101,565,2549372,,aacC1,aac(3)-Ia,2026-03-24.1,__NG_056001.1,WP_032492247.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ib,,aminoglycoside N-acetyltransferase AAC(3)-Ib,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_079459897.1,NG_067945.1,Yes,,CP002151.1,-,22522,22986,+,101,565,,,,aac(3)-Ib,2026-03-24.1,__NG_067945.1,WP_079459897.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ib,,aminoglycoside N-acetyltransferase AAC(3)-Ib,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_010792467.1,NG_047257.1,No,ADU86600.1,GU390401.1,+,1774,2238,+,101,565,7486920,,,aac(3)-Ib,2026-03-24.1,__NG_047257.1,WP_010792467.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ib/aac(6')-Ib'',,bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib'',core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN/KANAMYCIN/TOBRAMYCIN,WP_063838852.1,NG_047210.1,No,AAL82588.1,AF355189.1,+,1435,2439,+,101,1105,11850242,,,"aac(3)-Ib,aac(6')-Ib''",2026-03-24.1,__NG_047210.1,WP_063838852.1,Aminoglycoside,Gentamicin/Kanamycin/Tobramycin,existing,,,,
,aac(3)-Ic,,aminoglycoside N-acetyltransferase AAC(3)-Ic,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_034006142.1,NG_048568.1,No,CAD53575.1,AJ511268.1,+,1295,1765,+,101,571,12709352,,,aac(3)-Ic,2026-03-24.1,__NG_048568.1,WP_034006142.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Id,,aminoglycoside N-acetyltransferase AAC(3)-Id,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_038404949.1,NG_048569.1,No,BAD00738.1,AB114632.1,+,104,580,+,101,577,15117923,,,aac(3)-Id,2026-03-24.1,__NG_048569.1,WP_038404949.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Id,,aminoglycoside N-acetyltransferase AAC(3)-Id,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_003155734.1,NG_052489.1,No,CAO78542.1,AM749810.1,+,2176,2652,+,101,577,,,,aac(3)-Id,2026-03-24.1,__NG_052489.1,WP_003155734.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-If,,aminoglycoside N-acetyltransferase AAC(3)-If,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063856942.1,NG_048570.1,No,AAX16011.1,AY884051.1,+,61,525,+,61,525,,,,aac(3)-If,2026-03-24.1,__NG_048570.1,WP_063856942.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-If,,aminoglycoside N-acetyltransferase AAC(3)-If,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_071846359.1,NG_052479.1,No,ABN10340.1,EF207718.1,+,540,1004,+,101,565,,,,aac(3)-If,2026-03-24.1,__NG_052479.1,WP_071846359.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ig,,aminoglycoside N-acetyltransferase AAC(3)-Ig,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011468318.1,NG_048571.1,No,ABD81100.1,CP000282.1,+,2333620,2334096,+,101,577,,,,aac(3)-Ig,2026-03-24.1,__NG_048571.1,WP_011468318.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ih,,aminoglycoside N-acetyltransferase AAC(3)-Ih,plus,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011749610.1,,No,ABL71428.1,CP000490.1,+,509912,510370,,,,16723604,,,aac(3)-Ih,2026-03-24.1,__,WP_011749610.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-Ii,,aminoglycoside N-acetyltransferase AAC(3)-Ii,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_011540937.1,NG_048573.1,No,ABF52347.1,CP000356.1,-,638262,638720,+,101,559,,,,aac(3)-Ii,2026-03-24.1,__NG_048573.1,WP_011540937.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_031136588.1,NG_047258.1,No,BAD95833.1,AB211959.1,-,30749,31612,+,101,964,,,,aac(3)-VIII,2026-03-24.1,__NG_047258.1,WP_031136588.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840271.1,NG_047260.1,No,CAG34706.1,AJ748131.1,+,2629,3492,+,101,964,16258246,,,aac(3)-VIII,2026-03-24.1,__NG_047260.1,WP_063840271.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIII,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840270.1,NG_047259.1,No,CAH58703.1,AJ843080.1,-,26934,27797,+,101,964,15827636,,,aac(3)-VIII,2026-03-24.1,__NG_047259.1,WP_063840270.1,Aminoglycoside,Aminoglycoside,existing,,,,
aac(3)-VIIIa,aac(3)-VIII,,aminoglycoside N-acetyltransferase AAC(3)-VIIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063856943.1,NG_048574.1,No,AAA26685.1,M55426.1,+,466,1326,+,101,961,2060791,,aacC8,aac(3)-VIIIa,2026-03-24.1,aac(3)-VIIIa__NG_048574.1,WP_063856943.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(3)-VIIa,,aminoglycoside N-acetyltransferase AAC(3)-VIIa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_063840272.1,NG_047261.1,No,AAA88552.1,M22999.1,+,493,1359,+,101,967,2914849,,aacC7,aac(3)-VIIa,2026-03-24.1,__NG_047261.1,WP_063840272.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(3)-VIa,,aminoglycoside N-acetyltransferase AAC(3)-VIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_000131886.1,NG_052583.3,Yes,,DQ517526.1,+,97578,98477,+,101,1000,,,,aac(3)-VIa,2026-03-24.1,__NG_052583.3,WP_000131886.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-VIa,,aminoglycoside N-acetyltransferase AAC(3)-VIa,core,AMR,AMR,AMINOGLYCOSIDE,GENTAMICIN,WP_063840273.1,NG_047262.1,No,AAA16194.1,M88012.1,+,193,1092,+,101,1000,8257126,,,aac(3)-VIa,2026-03-24.1,__NG_047262.1,WP_063840273.1,Aminoglycoside,Gentamicin,existing,,,,
,aac(3)-XI,,aminoglycoside N-acetyltransferase AAC(3)-XI,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046095284.1,NG_050595.1,No,CQD12588.1,CTEG01000046.1,+,12458,12904,+,101,547,,,,aac(3)-XI,2026-03-24.1,__NG_050595.1,WP_046095284.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(3)-Xa,,aminoglycoside N-acetyltransferase AAC(3)-Xa,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_012377682.1,NG_047263.1,No,BAA78619.1,AB028210.1,-,2711,3565,+,101,955,10639379,,aac(3)-X,aac(3)-Xa,2026-03-24.1,__NG_047263.1,WP_012377682.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004874306.1,NG_052265.1,No,EEQ11435.1,AALD02000008.1,-,4573,5013,+,101,541,,,,aac(6')_Yersi,2026-03-24.1,__NG_052265.1,WP_004874306.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_071846239.1,NG_052254.1,No,BAM45412.1,AB733642.1,+,1169,1723,+,101,655,,,,aac(6')-set_A,2026-03-24.1,__NG_052254.1,WP_071846239.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_029391459.1,NG_052157.1,Yes,,AJTQ01000183.1,-,11686,12168,+,101,583,,,,aacA-STR-10,2026-03-24.1,__NG_052157.1,WP_029391459.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_019453091.1,NG_052284.1,Yes,,ALOV01000006.1,+,88679,89119,+,101,541,,,,aac(6')_Serra,2026-03-24.1,__NG_052284.1,WP_019453091.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_004937175.1,NG_052389.1,No,EMF04571.1,AORJ01000065.1,-,222016,222456,+,101,541,,,,aac(6')_Serra,2026-03-24.1,__NG_052389.1,WP_004937175.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_041036791.1,NG_052449.1,No,BAO35700.1,AP013063.1,+,3877863,3878303,+,101,541,,,,aac(6')_Serra,2026-03-24.1,__NG_052449.1,WP_041036791.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_051208285.1,NG_052294.1,Yes,,AUIH01000073.1,+,8195,8797,+,101,703,,,,aac(6')_Ia_fam,2026-03-24.1,__NG_052294.1,WP_051208285.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_021505085.1,NG_052297.1,No,ERH70569.1,AVSR01000023.1,+,98684,99124,+,101,541,,,,aac(6')_Serra,2026-03-24.1,__NG_052297.1,WP_021505085.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_023529211.1,NG_052445.1,No,EST37714.1,AWQV01000373.1,+,7421,7906,+,101,586,,,,aac(6')_Strep,2026-03-24.1,__NG_052445.1,WP_023529211.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_042785406.1,NG_052415.1,No,AIM23676.1,CP003424.1,+,4405272,4405712,+,101,541,,,,aac(6')_Serra,2026-03-24.1,__NG_052415.1,WP_042785406.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_015379140.1,NG_052263.1,No,AGE20052.1,CP003959.1,+,4618984,4619424,+,101,541,,,,aac(6')_Serra,2026-03-24.1,__NG_052263.1,WP_015379140.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_039639671.1,NG_052428.1,No,AJC61747.1,CP003987.1,-,9881022,9881495,+,101,574,,,,aac(6')_Strep,2026-03-24.1,__NG_052428.1,WP_039639671.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_044030410.1,NG_052336.1,No,AIA46829.1,CP005927.1,-,1522208,1522648,+,101,541,25856195,,,aac(6')_Serra,2026-03-24.1,__NG_052336.1,WP_044030410.1,Aminoglycoside,Aminoglycoside,existing,,,,
,aac(6'),,aminoglycoside 6'-N-acetyltransferase,core,AMR,AMR,AMINOGLYCOSIDE,AMINOGLYCOSIDE,WP_046928126.1,NG_054688.1,No,AJT67207.1,CP007699.2,+,5982660,5983148,+,101,589,,,,aacA-STR-15,2026-03-24.1,__NG_054688.1,WP_046928126.1,Aminoglycoside,Aminoglycoside,existing,,,,
